1_ent,4_no_leg,5_ini_leg,6_fin_leg,8_ople_coal,9_part_ini,10_part_revisado,11_tier,13_distrito_local,14_genero,15_autoadscrip,16_aff_act,17_tipo_cand,19_reelec,20_pres_com,21_com_preside,22_pres_jeps,23_pres_mesa,24_coord_bancada
Aguascalientes,LXIII,2016,2018,PRI,PRI,PRI,1,1,2,,,,0,1,Juventud,0,0,0
Aguascalientes,LXIII,2016,2018,PRI,PRI,PRI,1,2,1,,,,0,1,Fomento Cooperativo y Economía Social,0,0,0
Aguascalientes,LXIII,2016,2018,PRI,PRI,PRI,1,3,2,,,,0,1,Equidad de Género,0,0,0
Aguascalientes,LXIII,2016,2018,PVEM,PVEM,PVEM,1,4,2,,,,0,1,Desarrollo Metropolitano y Zonas Conurbadas,0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,5,1,,,,0,1,Desarrollo Social,0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,6,1,,,,0,1,Gobernación y Puntos Constitucionales,1,1,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,7,2,,,,0,1,Transporte Público,0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,8,1,,,,0,1,Justicia/Seguridad Pública,1,1,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,9,2,,,,0,1,"Planeación, Desarrollo Urbano y Obras Públicas",0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,10,2,,,,0,1,Salud Pública y Asistencia Social,0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,11,1,,,,0,0,,0,1,1
Aguascalientes,LXIII,2016,2018,PRI,PRI,PRI,1,12,2,,,,0,1,Asuntos Electorales,1,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,13,2,,,,0,1,Familia,0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,14,1,,,,0,1,Reglamentos y Prácticas Parlamentarias/Derechos Humanos,1,1,0
Aguascalientes,LXIII,2016,2018,PANAL,PANAL,PANAL,1,15,2,,,,0,1,Desarrollo Económico y Turismo,1,0,0
Aguascalientes,LXIII,2016,2018,PANAL,PANAL,PANAL,1,16,2,,,,0,1,Desarrollo Agropecuario,0,0,1
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,17,2,,,,0,0,,0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,1,18,1,,,,0,1,Recursos Hidráulicos,0,0,0
Aguascalientes,LXIII,2016,2018,PAN,PAN,PAN,2,,1,,,,0,1,Vigilancia,1,0,0
Aguascalientes,LXIII,2016,2018,PRI,PRI,PRI,2,,1,,,,0,1,Los Servidores Públicos,0,0,1
Aguascalientes,LXIII,2016,2018,PRD,PRD,PRD,2,,1,,,,0,1,Ciencia y Tecnología,0,0,0
Aguascalientes,LXIII,2016,2018,PANAL,PANAL,PANAL,2,,1,,,,0,1,Recreación y Deporte,0,0,0
Aguascalientes,LXIII,2016,2018,MORENA,MORENA,MORENA,2,,1,,,,0,1,Fortalecimiento Municipal,0,0,0
Aguascalientes,LXIII,2016,2018,PVEM,PVEM,PVEM,2,,1,,,,0,1,Comisión del Medio Ambiente y Recursos Naturales,0,0,1
Aguascalientes,LXIII,2016,2018,PES,PES,PES,2,,1,,,,0,1,Educación y Cultura,0,0,0
